model,language,length_tier,correct,questions,accuracy
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,long,4311,5425,79.47
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,short,5901,7322,80.59
meta-llama__llama-4-maverick,ur,long,4791,5430,88.23
meta-llama__llama-4-maverick,ur,short,6408,7321,87.53
microsoft__Phi-3.5-mini-instruct,ur,long,1782,5394,33.04
microsoft__Phi-3.5-mini-instruct,ur,short,2469,7293,33.85
microsoft__Phi-4-mini-instruct,ur,long,2110,5434,38.83
microsoft__Phi-4-mini-instruct,ur,short,2948,7325,40.25
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,long,2975,5434,54.75
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,short,4178,7325,57.04
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,long,3686,5434,67.83
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,short,5066,7325,69.16
qwen__qwen3.6-27b,ur,long,4601,5434,84.67
qwen__qwen3.6-27b,ur,short,6162,7325,84.12
